SUNK_ID,SUNK_MONTH_NAME,SUNK_DAY_OF_MONTH,SUNK_YEAR,SUNK_MONTH_NUMBER,SUNK_MONTH_YEAR,SUNK_DAY_OF_WEEK_NUMBER,SUNK_DATE_OF_WEEK_NAME,SUNK_DATE,SUNK_NAME_OF_VESSEL,SUNK_TYPE_VESSEL,SUNK_STANDARD_TONNAGE,SUNK_LOCATION,AGENT_NATION,AGENT_TYPES,SUNK_TYPE,SUNK_VESSEL_TYPE,AGENT_GENERAL_TYPE,SUNK_LOCATION_LAT,SUNK_LOCATION_LONG,SUNK_DISTANCE_FROM_TOKYO,SUNK_FULL_LAT,SUNK_FULL_LONG,lat_side,long_side
1809,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,NOSHIRO,Light Cruiser,"7,000","11-35N, 121-45E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,11.35,121.45,3270.545279,11-35N,121-45E,1,1
1810,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,HAYASHIMO,Destroyer,"2,100","12-05N, 121-50E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,12.05,121.5,3201.314316,12-05N,121-50E,1,1
1811,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,URANAMI,Destroyer,"1,950","11-50N, 123-00E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,11.5,123,3171.106006,11-50N,123-00E,1,1
1812,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,ABUKUMA,Light Cruiser,"5,700","9-20N, 122-30E",United States,Army Aircraft Surface CraftNavy Carrier- Based Aircraft,Sunk,Naval,Combination,9.2,122.3,3432.173258,9-20N,122-30E,1,1
1813,November,26,1944,11,1944-11-01,4,Wednesday,1944-11-26,TRANSPORT NO 161,Tank Landing Ship,"1,000","16-00N, 97-00E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,16,97,4750.377924,16-00N,97-00E,1,1
1814,December,26,1944,12,1944-12-01,4,Wednesday,1944-12-26,KIYOSHIMO,Destroyer,"2,200","12-20N, 121-00E",United States,Army Aircraft Surface Craft,Sunk,Naval,Combination,12.2,121,3216.129642,12-20N,121-00E,1,1
1815,February,26,1944,2,1944-02-01,4,Wednesday,1944-02-26,DAIGEN MARU NO 3,Passenger-Cargo,"5,256","00-55S, 139-02E",United States,Submarine,Sunk,Maritime,Submarine,-0.55,139.02,4030.299112,00-55S,139-02E,-1,1
1816,April,26,1944,4,1944-04-01,4,Wednesday,1944-04-26,WAZAN MARU,Cargo,"4,851","33-30N, 135-27E",United States,Submarine,Sunk,Maritime,Submarine,33.3,135.27,484.3776137,33-30N,135-27E,1,1
1817,April,26,1944,4,1944-04-01,4,Wednesday,1944-04-26,NOSHIRO MARU,Cargo,"2,333","28-37N, 141-00E",United States,Submarine,Sunk,Maritime,Submarine,28.37,141,823.2332675,28-37N,141-00E,1,1
1818,April,26,1944,4,1944-04-01,4,Wednesday,1944-04-26,TOKIWA MARU,Passenger-Cargo,806,"6-12N, 125-47E",United States,Submarine,Sunk,Maritime,Submarine,6.12,125.47,3594.599016,6-12N,125-47E,1,1
1819,April,26,1944,4,1944-04-01,4,Wednesday,1944-04-26,YOSHIDA MARU NO 1,Passenger-Cargo,"5,425","18-06N, 119-47E",United States,Submarine,Sunk,Maritime,Submarine,18.06,119.47,2792.846337,18-06N,119-47E,1,1
1820,May,26,1944,5,1944-05-01,4,Wednesday,1944-05-26,CHIYO MARU,Cargo,657,"20-30N, 141-45E",United States,Submarine,Sunk,Maritime,Submarine,20.3,141.45,1719.894147,20-30N,141-45E,1,1
1821,May,26,1944,5,1944-05-01,4,Wednesday,1944-05-26,SANYO MARU,Converted Seaplane Tender,"8,360","2-48N, 124-19E",United States,Submarine,Sunk,Maritime,Submarine,2.48,124.19,4023.124514,2-48N,124-19E,1,1
1822,May,26,1944,5,1944-05-01,4,Wednesday,1944-05-26,AKISHIMA MARU,Cargo,"1,993","33-48N, 131-33E",United States,Army Mine,Sunk,Maritime,Mine,33.48,131.33,803.4841447,33-48N,131-33E,1,1
1823,June,26,1944,6,1944-06-01,4,Wednesday,1944-06-26,HARUKIKU MARU,Passenger-Cargo,"3,040","3-15N, 99-46E",Great Britain,Submarine,Sunk,Maritime,Submarine,3.15,99.46,5489.532035,3-15N,99-46E,1,1
1824,July,26,1944,7,1944-07-01,4,Wednesday,1944-07-26,AKI MARU,Passenger-Cargo,"11,409","18-28N, 117-59E",United States,Submarine,Sunk,Maritime,Submarine,18.28,117.59,2909.424534,18-28N,117-59E,1,1
1825,July,26,1944,7,1944-07-01,4,Wednesday,1944-07-26,OTORIYAMA MARU,Tanker,"5,280","18-10N, 117-56E",United States,Submarine,Sunk,Maritime,Submarine,18.1,117.56,2926.073383,18-10N,117-56E,1,1
1826,July,26,1944,7,1944-07-01,4,Wednesday,1944-07-26,TOSAN MARU,Passenger-Cargo,"8,666","18-13N, 117-50E",United States,Submarine,Sunk,Maritime,Submarine,18.13,117.5,2928.042259,18-13N,117-50E,1,1
1827,September,26,1944,9,1944-09-01,4,Wednesday,1944-09-26,KOETSU MARU,Cargo,873,"37-13N, 123-48E",United States,Submarine,Sunk,Maritime,Submarine,37.13,123.48,1457.617362,37-13N,123-48E,1,1
1828,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,KAIKO MARU,Cargo,"2,698","20-27N, 111-49E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,20.27,111.49,3238.427745,20-27N,111-49E,1,1
1829,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,NANSHIN MARU NO 31,Tanker,834,"8-22N, 116-55E",United States,Navy Carrier- Based Aircraft,Sunk,Maritime,Aircraft,8.22,116.55,3853.564289,8-22N,116-55E,1,1
1830,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,TAKASAGO MARU NO 7,Tanker,834,"10-18N, 117-47E",United States,Submarine,Sunk,Maritime,Submarine,10.18,117.47,3616.745871,10-18N,117-47E,1,1
1831,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,TAISHO MARU,Cargo,"6,886","19-21N, 120-50E",United States,Submarine,Sunk,Maritime,Submarine,19.21,120.5,2625.170739,19-21N,120-50E,1,1
1832,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,TAIHAKU MARU,Cargo,"6,886","19-21N, 120-50E",United States,Submarine,Sunk,Maritime,Submarine,19.21,120.5,2625.170739,19-21N,120-50E,1,1
1833,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,SEITO MARU,Cargo,"2,219","3-14S, 116-13E",Australia,Mine,Sunk,Maritime,Mine,-3.14,116.13,4964.883555,3-14S,116-13E,-1,1
1834,October,26,1944,10,1944-10-01,4,Wednesday,1944-10-26,TAIYO MARU,Cargo,"4,168","19-04N, 120-36E",United States,Submarine,Sunk,Maritime,Submarine,19.04,120.36,2649.066928,19-04N,120-36E,1,1
1835,November,26,1944,11,1944-11-01,4,Wednesday,1944-11-26,YUHO MARU,Tanker,"5,226","4-55N, 114-06E",United States,Submarine,Sunk,Maritime,Submarine,4.55,114.06,4345.720914,4-55N,114-06E,1,1
1836,April,27,1944,4,1944-04-01,4,Wednesday,1944-04-27,KAMONE,Special Minelayer,450,"27-37N, 128-11E",United States,Submarine,Sunk,Naval,Submarine,27.37,128.11,1433.470302,27-37N,128-11E,1,1
1837,April,27,1944,4,1944-04-01,4,Wednesday,1944-04-27,YUBARI,Light Cruiser,"3,500","5-20N, 132-16E",United States,Submarine,Sunk,Naval,Submarine,5.2,132.16,3476.917043,5-20N,132-16E,1,1
1838,September,27,1944,9,1944-09-01,4,Wednesday,1944-09-27,COAST DEFENSE VESSEL NO 10,Frigate,800,"29-26N, 128-50E",United States,Submarine,Sunk,Naval,Submarine,29.26,128.5,1268.657122,29-26N,128-50E,1,1
1839,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,FUJINAMI,Destroyer,"2,100","12-00N, 122-30E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,12,122.3,3160.98041,12-00N,122-30E,1,1
1840,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,SHIRANUHI,Destroyer,"1,650","12-00N, 122-30E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,12,122.3,3160.98041,12-00N,122-30E,1,1
1841,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,TRANSPORT NO 138,Tank Landing Ship,"1,000","25-22N, 141-31E",United States,Submarine,Sunk,Naval,Submarine,25.22,141.31,1174.461503,25-22N,141-31E,1,1
1842,November,27,1944,11,1944-11-01,4,Wednesday,1944-11-27,I 46,Submarine,"2,180","10-48N, 124-35E",United States,Surface Craft,Sunk,Naval,Surface Craft,10.48,124.35,3202.50411,10-48N,124-35E,1,1
1843,December,27,1944,12,1944-12-01,4,Wednesday,1944-12-27,TRANSPORT NO 7,High Speed Transport,"1,500","24-47N, 141-20E",United States,Surface Craft,Sunk,Naval,Surface Craft,24.47,141.2,1255.983528,24-47N,141-20E,1,1
1844,December,27,1944,12,1944-12-01,4,Wednesday,1944-12-27,TRANSPORT NO 132,Tank Landing Ship,"1,000","24-47N, 141-20E",United States,Surface Craft,Sunk,Naval,Surface Craft,24.47,141.2,1255.983528,24-47N,141-20E,1,1
1845,February,27,1944,2,1944-02-01,4,Wednesday,1944-02-27,TAISOKU MARU,Cargo,"2,473","1-48N, 127-32E",United States,Submarine,Sunk,Maritime,Submarine,1.48,127.32,4012.580062,1-48N,127-32E,1,1
1846,February,27,1944,2,1944-02-01,4,Wednesday,1944-02-27,CEYLON MARU,Cargo,"4,905","31-50N, 127-45E",United States,Submarine*,Sunk,Maritime,Submarine,31.5,127.45,1224.538587,31-50N,127-45E,1,1
1847,March,27,1944,3,1944-03-01,4,Wednesday,1944-03-27,SHINSEI MARU,Cargo,575,"7-44S, 130-02E",Australia,Aircraft,Sunk,Maritime,Aircraft,-7.44,130.02,4901.536891,7-44S,130-02E,-1,1
1848,March,27,1944,3,1944-03-01,4,Wednesday,1944-03-27,NICHINAN MARU,Cargo,"2,750","7-31S, 115-57E",United States,Submarine,Sunk,Maritime,Submarine,-7.31,115.57,5406.552345,7-31S,115-57E,-1,1
1849,March,27,1944,3,1944-03-01,4,Wednesday,1944-03-27,YAMAMIZU MARU,Tanker,"5,174","3-52S, 109-40E",United States,Submarine,Sunk,Maritime,Submarine,-3.52,109.4,5379.780824,3-52S,109-40E,-1,1
1850,April,27,1944,4,1944-04-01,4,Wednesday,1944-04-27,AKIGAWA MARU,Cargo,"5,244","14-50N, 142-23E",United States,Submarine,Sunk,Maritime,Submarine,14.5,142.23,2369.797601,14-50N,142-23E,1,1
1851,April,27,1944,4,1944-04-01,4,Wednesday,1944-04-27,MIIKE MARU,Passenger-Cargo,"11,739","8-20N, 134-53E",United States,Submarine,Sunk,Maritime,Submarine,8.2,134.53,3101.409986,8-20N,134-53E,1,1
1852,April,27,1944,4,1944-04-01,4,Wednesday,1944-04-27,GENBU MARU,Passenger-Cargo,"1,872","27-20N, 128-15E",United States,Submarine,Sunk,Maritime,Submarine,27.2,128.15,1443.576009,27-20N,128-15E,1,1
1853,June,27,1944,6,1944-06-01,4,Wednesday,1944-06-27,MEDAN MARU,Tanker,"5,135","21-21N, 120-18E",United States,Submarine,Sunk,Maritime,Submarine,21.21,120.18,2487.171498,21-21N,120-18E,1,1
1854,July,27,1944,7,1944-07-01,4,Wednesday,1944-07-27,KYOEI MARU NO 2,Tanker,"1,157","5-25N, 121-43E",United States,Submarine,Sunk,Maritime,Submarine,5.25,121.43,3866.403191,5-25N,121-43E,1,1
1855,August,27,1944,8,1944-08-01,4,Wednesday,1944-08-27,NANSHIN MARU NO 27,Tanker,834,"12-28N, 119-57E",United States,Submarine,Sunk,Maritime,Submarine,12.28,119.57,3294.459357,12-28N,119-57E,1,1
1856,September,27,1944,9,1944-09-01,4,Wednesday,1944-09-27,URAL MARU,Transport,"6,374","15-40N, 117-18E",United States,Submarine,Sunk,Maritime,Submarine,15.4,117.18,3176.04397,15-40N,117-18E,1,1
1857,September,27,1944,9,1944-09-01,4,Wednesday,1944-09-27,HOKKI MARU,Tanker,"5,599","15-45N, 117-48E",United States,Submarine,Sunk,Maritime,Submarine,15.45,117.48,3150.956104,15-45N,117-48E,1,1
1858,September,27,1944,9,1944-09-01,4,Wednesday,1944-09-27,HACHIROGATA MARU,Cargo,"1,999","46-32N, 146-48E",United States,Submarine,Sunk,Maritime,Submarine,46.32,146.48,1310.93634,46-32N,146-48E,1,1
1859,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,BAIEI MARU,Tanker,"2,858","5-07N, 115-10E",Japan,Mine*,Sunk,Maritime,Mine,5.07,115.1,4233.844839,5-07N,115-10E,1,1
1860,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,NIPPO MARU,Tanker,"10,528","7-09N, 116-40E",United States,Submarine,Sunk,Maritime,Submarine,7.09,116.4,3967.199663,7-09N,116-40E,1,1
1861,October,27,1944,10,1944-10-01,4,Wednesday,1944-10-27,TOKAI MARU NO 4,Cargo,537,"25-22N, 141-31E",United States,Submarine,Sunk,Maritime,Submarine,25.22,141.31,1174.461503,25-22N,141-31E,1,1
1862,November,27,1944,11,1944-11-01,4,Wednesday,1944-11-27,NANKO MARU NO 6,Cargo,834,Yellow Sea,Unknown,Unknown,Sunk,Maritime,Unknown,NULL,NULL,NULL,NULL,NULL,-1,-1
1863,December,27,1944,12,1944-12-01,4,Wednesday,1944-12-27,DAICHO MARU,Cargo,"1,135","6-06S, 106-53E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,-6.06,106.53,5791.280973,6-06S,106-53E,-1,1
1864,April,28,1944,4,1944-04-01,4,Wednesday,1944-04-28,I 183,Submarine,"1,630","32-07N, 133-03E",United States,Submarine,Sunk,Naval,Submarine,32.07,133.03,734.5728864,32-07N,133-03E,1,1
1865,June,28,1944,6,1944-06-01,4,Wednesday,1944-06-28,COAST DEFENSE VESSEL NO 24,Frigate,800,"24-44N, 140-20E",United States,Submarine,Sunk,Naval,Submarine,24.44,140.2,1251.898082,24-44N,140-20E,1,1
1866,July,28,1944,7,1944-07-01,4,Wednesday,1944-07-28,I 55,Submarine,"2,095","14-26N, 152-16E",United States,Surface Craft,Sank,Naval,Surface Craft,14.26,152.16,2688.197301,14-26N,152-16E,1,1
1867,August,28,1944,8,1944-08-01,4,Wednesday,1944-08-28,SPECIAL SUBMARINE CHASER NO 77,Special Submarine Chaser,170,"50-30N, 156-20E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,50.3,156.2,2097.845701,50-30N,156-20E,1,1
1868,October,28,1944,10,1944-10-01,4,Wednesday,1944-10-28,I 45,Submarine,"2,212","10-10N, 127-28E",United States,Surface Craft,Sunk,Naval,Surface Craft,10.1,127.28,3109.687085,10-10N,127-28E,1,1
1869,October,28,1944,10,1944-10-01,4,Wednesday,1944-10-28,I 54,Submarine,"2,140","10-56N, 127-13E",United States,Surface Craft,Sunk,Naval,Surface Craft,10.56,127.13,3068.487678,10-56N,127-13E,1,1
1870,November,28,1944,11,1944-11-01,4,Wednesday,1944-11-28,SUBMARINE CHASER NO 53,Submarine Chaser,300,"10-59N, 124-33E",United States,Surface Craft,Sunk,Naval,Surface Craft,10.59,124.33,3192.539223,10-59N,124-33E,1,1
1871,November,28,1944,11,1944-11-01,4,Wednesday,1944-11-28,PATROL BOAT NO 105,Yacht,200,"10-59N, 124-33E",United States,Surface Craft,Sunk,Naval,Surface Craft,10.59,124.33,3192.539223,10-59N,124-33E,1,1
1872,November,28,1944,11,1944-11-01,4,Wednesday,1944-11-28,I 365,Submarine,"1,470","34-44N, 141-01E",United States,Submarine,Sunk,Naval,Submarine,34.44,141.01,183.7132064,34-44N,141-01E,1,1
1873,February,28,1944,2,1944-02-01,4,Wednesday,1944-02-28,AKIURA MARU,Passenger-Cargo,"6,803","00-06N, 132-53E",United States,Submarine,Sunk,Maritime,Submarine,0.06,132.53,4030.620972,00-06N,132-53E,1,1
1874,February,28,1944,2,1944-02-01,4,Wednesday,1944-02-28,KAIKO MARU,Cargo,"3,548","50-02N, 155-30E",United States,Submarine,Sunk,Maritime,Submarine,50.02,155.3,2030.542827,50-02N,155-30E,1,1
1875,February,28,1944,2,1944-02-01,4,Wednesday,1944-02-28,SHOHO MARU,Cargo,"2,723","00-06N, 132-53E",United States,Submarine,Sunk,Maritime,Submarine,0.06,132.53,4030.620972,00-06N,132-53E,1,1
1876,March,28,1944,3,1944-03-01,4,Wednesday,1944-03-28,YASUSHIMA MARU,Cargo,"1,911","3-38N, 100-50E",Great Britain,Submarine,Sunk,Maritime,Submarine,3.38,100.5,5391.511184,3-38N,100-50E,1,1
1877,March,28,1944,3,1944-03-01,4,Wednesday,1944-03-28,FUKUSEI MARU,Cargo,"2,219","24-25N, 131-11E",United States,Submarine,Sunk,Maritime,Submarine,24.25,131.11,1515.377927,24-25N,131-11E,1,1
1878,June,28,1944,6,1944-06-01,4,Wednesday,1944-06-28,USSURI MARU,Passenger-Cargo,"6,386","23-14N, 119-49E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,23.14,119.49,2394.976921,23-14N,119-49E,1,1
1879,June,28,1944,6,1944-06-01,4,Wednesday,1944-06-28,SANSEI MARU,Cargo,"2,386","34-03N, 129-00E",United States,Submarine,Sunk,Maritime,Submarine,34.03,129,992.1417147,34-03N,129-00E,1,1
1880,June,28,1944,6,1944-06-01,4,Wednesday,1944-06-28,YAMAGIKU MARU,Cargo,"5,236","6-50N, 122-41E",United States,Submarine,Sunk,Maritime,Submarine,6.5,122.41,3693.760209,6-50N,122-41E,1,1
1881,July,28,1944,7,1944-07-01,4,Wednesday,1944-07-28,HAKUBASAN MARU,Passenger-Cargo,"6,650","16-18N, 119-44E",United States,Submarine,Sunk,Maritime,Submarine,16.18,119.44,2954.689996,16-18N,119-44E,1,1
1882,July,28,1944,7,1944-07-01,4,Wednesday,1944-07-28,PEKING MARU,Transport,"2,288","17-33N, 120-21E",United States,Submarine,Sunk,Maritime,Submarine,17.33,120.21,2803.779367,17-33N,120-21E,1,1
1883,September,28,1944,9,1944-09-01,4,Wednesday,1944-09-28,TONE MARU,Cargo,537,"1-15S, 116-50E",United States,Navy Land- Based Aircraft,Sunk,Maritime,Aircraft,-1.15,116.5,4749.988862,1-15S,116-50E,-1,1
1884,September,28,1944,9,1944-09-01,4,Wednesday,1944-09-28,ANJO MARU,Tanker,"2,068","13-16N, 120-08E",United States,Submarine,Sunk,Maritime,Submarine,13.16,120.08,3182.493547,13-16N,120-08E,1,1
1885,October,28,1944,10,1944-10-01,4,Wednesday,1944-10-28,SUMATRA MARU,Cargo,984,"7-54N, 98-28E",Great Britain,Submarine,Sunk,Maritime,Submarine,7.54,98.28,5239.882238,7-54N,98-28E,1,1
1886,November,28,1944,11,1944-11-01,4,Wednesday,1944-11-28,ATAGO MARU,Tanker,"7,543","4-29N, 114-00E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,4.29,114,4373.444479,4-29N,114-00E,1,1
1887,December,28,1944,12,1944-12-01,4,Wednesday,1944-12-28,NOZAKI,Collier,"1,000","12-39N, 109-30E",United States,Submarine,Sunk,Maritime,Submarine,12.39,109.3,3998.288982,12-39N,109-30E,1,1
1888,April,29,1944,4,1944-04-01,4,Wednesday,1944-04-29,I 174,Submarine,"1,785","6-13N, 151-19E",United States,Navy Carrier-Based Aircraft Surface Craft,Sunk,Naval,Combination,6.13,151.19,3490.574607,6-13N,151-19E,1,1
1889,April,29,1944,4,1944-04-01,4,Wednesday,1944-04-29,TAHURE,River Gunboat,644,"13-02N, 109-28E",United States,Submarine,Sunk,Naval,Submarine,13.02,109.28,3950.038958,13-02N,109-28E,1,1
1890,May,29,1944,5,1944-05-01,4,Wednesday,1944-05-29,RO 105,Submarine,525,"00-47N, 149-56E",United States,Surface Craft,Sunk,Naval,Surface Craft,0.47,149.56,4047.177795,00-47N,149-56E,1,1
1891,June,29,1944,6,1944-06-01,4,Wednesday,1944-06-29,TSUGARU,Minelayer,"4,400","2-19N, 127-57E",United States,Submarine,Sunk,Naval,Submarine,2.19,127.57,3928.948364,2-19N,127-57E,1,1
1892,August,29,1944,8,1944-08-01,4,Wednesday,1944-08-29,MINESWEEPER NO 28,Minesweeper,492,"2-03N, 122-28E",United States,Submarine,Sunk,Naval,Submarine,2.03,122.28,4150.894698,2-03N,122-28E,1,1
1893,November,29,1944,11,1944-11-01,4,Wednesday,1944-11-29,SUBMARINE CHASER NO 45,Submarine Chaser,300,"11-00N, 124-15E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,11,124.15,3160.778797,11-00N,124-15E,1,1
1894,November,29,1944,11,1944-11-01,4,Wednesday,1944-11-29,SHINANO,Aircraft Carrier,"59,000","32-00N, 137-00E",United States,Submarine,Sunk,Naval,Submarine,32,137,479.600351,32-00N,137-00E,1,1
1895,February,29,1944,2,1944-02-01,4,Wednesday,1944-02-29,UCHIDE MARU,Passenger-Cargo,"5,275","8-57N, 132-52E",United States,Submarine,Sunk,Maritime,Submarine,8.57,132.52,3102.228531,8-57N,132-52E,1,1
1896,February,29,1944,2,1944-02-01,4,Wednesday,1944-02-29,SAKITO MARU,Passenger-Cargo,"7,126","22-40N, 131-50E",United States,Submarine,Sunk,Maritime,Submarine,22.4,131.5,1676.88848,22-40N,131-50E,1,1
1897,April,29,1944,4,1944-04-01,4,Wednesday,1944-04-29,SONG GIANG MARU,Cargo,"1,065","13-02N, 109-28E",United States,Submarine,Sunk,Maritime,Submarine,13.02,109.28,3950.038958,13-02N,109-28E,1,1
1898,April,29,1944,4,1944-04-01,4,Wednesday,1944-04-29,TAKEGAWA MARU,Cargo,"1,930","19-26N, 118-45E",United States,Submarine,Sunk,Maritime,Submarine,19.26,118.45,2768.161824,19-26N,118-45E,1,1
1899,May,29,1944,5,1944-05-01,4,Wednesday,1944-05-29,ANSHU MARU,Converted Gunboat,"2,601","3-40S, 126-58E",United States,Submarine,Sunk,Maritime,Submarine,-3.4,126.58,4555.92187,3-40S,126-58E,-1,1
1900,May,29,1944,5,1944-05-01,4,Wednesday,1944-05-29,SHOKEN MARU,Cargo,"1,949","16-23N, 144-59E",United States,Submarine,Sunk,Maritime,Submarine,16.23,144.59,2217.71006,16-23N,144-59E,1,1
1901,May,29,1944,5,1944-05-01,4,Wednesday,1944-05-29,HORAIZAN MARU,Cargo,"1,999","16-23N, 144-59E",United States,Submarine,Sunk,Maritime,Submarine,16.23,144.59,2217.71006,16-23N,144-59E,1,1
1902,June,29,1944,6,1944-06-01,4,Wednesday,1944-06-29,KATORI MARU,Cargo,"1,920","19-09N, 120-27E",United States,Submarine,Sunk,Maritime,Submarine,19.09,120.27,2651.230714,19-09N,120-27E,1,1
1903,June,29,1944,6,1944-06-01,4,Wednesday,1944-06-29,TOYAMA MARU,Passenger-Cargo,"7,089","27-41N, 129-09E",United States,Submarine,Sunk,Maritime,Submarine,27.41,129.09,1360.896062,27-41N,129-09E,1,1
1904,June,29,1944,6,1944-06-01,4,Wednesday,1944-06-29,NIPPO MARU,Cargo,"6,079","00-43N, 105-31E",United States,Submarine,Sunk,Maritime,Submarine,0.43,105.31,5289.747994,00-43N,105-31E,1,1
1905,August,29,1944,8,1944-08-01,4,Wednesday,1944-08-29,TIENTSIN MARU,Passenger-Cargo,"2,349","31-23N, 121-30E",United States,Army Mine,Sunk,Maritime,Mine,31.23,121.3,1773.489798,31-23N,121-30E,1,1
1906,August,29,1944,8,1944-08-01,4,Wednesday,1944-08-29,MEXICO MARU,Passenger-Cargo,"5,785","2-07N, 122-28E",United States,Submarine,Sunk,Maritime,Submarine,2.07,122.28,4146.819999,2-07N,122-28E,1,1
1907,September,29,1944,9,1944-09-01,4,Wednesday,1944-09-29,EKISAN MARU,Cargo,"3,690","27-12N, 128-18E",United States,Submarine,Sunk,Maritime,Submarine,27.12,128.18,1447.59598,27-12N,128-18E,1,1
1908,October,29,1944,10,1944-10-01,4,Wednesday,1944-10-29,ITSUKUSHIMA MARU,Tanker,"10,006","6-45N, 116-55E",United States,Navy Land- Based Aircraft,Sunk,Maritime,Aircraft,6.45,116.55,4017.781188,6-45N,116-55E,1,1
1909,October,29,1944,10,1944-10-01,4,Wednesday,1944-10-29,KOKKO MARU,Cargo,"2,863","1-17S, 116-48E",Australia,Mine,Sunk,Maritime,Mine,-1.17,116.48,4752.998413,1-17S,116-48E,-1,1
1910,November,29,1944,11,1944-11-01,4,Wednesday,1944-11-29,SHINETSU MARU,Cargo,"2,212","10-47N, 124-17E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,10.47,124.17,3212.313845,10-47N,124-17E,1,1
1911,November,29,1944,11,1944-11-01,4,Wednesday,1944-11-29,SHINSHO MARU,Cargo,"2,880","11-01N, 124-37E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,11.01,124.37,3148.868769,11-01N,124-37E,1,1
1912,November,29,1944,11,1944-11-01,4,Wednesday,1944-11-29,DAIBOSHI MARU NO 6,Cargo,"3,925","37-17N, 125-11E",United States,Submarine,Sunk,Maritime,Submarine,37.17,125.11,1313.416234,37-17N,125-11E,1,1
1913,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,WAKATAKE,Old Destroyer,820,"7-50N, 134-20E",United States,Navy Carrier- Based Aircraft,Sank,Naval,Aircraft,7.5,134.2,3184.039783,7-50N,134-20E,1,1
1914,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,PATROL BOAT NO 31,Old Destroyer,750,"7-30N, 134-30E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1915,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,SPECIAL SUBMARINE CHASER NO 22,Special Submarine Chaser,100,"7-30N, 134-30E",United States,Navy Carrier- Based Aircraft,Sank,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1916,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,SPECIAL SUBMARINE CHASER NO 26,Special Submarine Chaser,100,"7-30N, 134-30E",United States,Navy Carrier-Based Aircraft,Sunk,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1917,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,SPECIAL SUBMARINE CHASER NO 53,Special Submarine Chaser,170,"7-30N, 134-30E",United States,Navy Carrier-Based Aircraft,Sunk,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1918,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,SUBMARINE CHASER NO 6,Submarine Chaser,270,"7-30N, 134-30E",United States,Navy Carrier-Based Aircraft,Sunk,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1919,March,30,1944,3,1944-03-01,4,Wednesday,1944-03-30,AKASHI,Repair Ship,"9,000","7-30N, 134-30E",United States,Navy Carrier-Based Aircraft,Sunk,Naval,Aircraft,7.3,134.3,3204.224871,7-30N,134-30E,1,1
1920,April,30,1944,4,1944-04-01,4,Wednesday,1944-04-30,SPECIAL SUBMARINE CHASER NO 38,Special Submarine Chaser,100,"7-22N, 151-45E",United States,Navy Carrier- Based Aircraft,Sank,Naval,Aircraft,7.22,151.45,3384.846405,7-22N,151-45E,1,1
1921,May,30,1944,5,1944-05-01,4,Wednesday,1944-05-30,ISHIGAKI,Frigate,860,"48-30N, 151-30E",United States,Submarine,Sunk,Naval,Submarine,48.3,151.3,1694.823027,48-30N,151-30E,1,1
